,Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Leighton_ratio,VOC_NOx_ratio,O3_lag1,NOx_lag1
0,2020-01-01,392.31,450.67,84.61,43.83,92.1,27.11,11.47,4.24,10.33,4.13,19.496348427392373,0.0443609022556391,,
1,2020-01-02,458.86,497.51,91.25,50.6,101.1,34.24,12.0,4.51,11.47,5.48,20.283672480620154,0.05367286973555339,10.33,92.1
2,2020-01-03,198.92,219.98,93.91,64.44,110.62,19.99,7.22,3.17,10.74,3.79,15.412490831295843,0.03395448844293137,11.47,101.1
3,2020-01-04,224.26,255.98,83.32,65.87,102.78,18.48,5.9,2.93,16.1,2.78,20.060595184686704,0.026787434958566194,10.74,110.62
4,2020-01-05,149.03,172.24,36.83,44.97,53.86,10.13,5.39,1.3,20.47,0.63,16.4000456819665,0.011483776886620488,16.1,102.78
5,2020-01-06,139.48,171.82,40.16,48.19,58.28,11.1,5.97,1.43,10.15,0.86,8.286724944094328,0.014507422402159244,20.47,53.86
6,2020-01-07,121.84,151.75,55.46,51.22,72.33,13.33,6.19,1.75,7.39,0.99,7.848513979318269,0.013500613664257467,10.15,58.28
7,2020-01-08,115.04,128.55,42.94,41.07,56.76,11.26,3.39,1.37,7.38,0.71,7.532617066793439,0.01229224376731302,7.39,72.33
8,2020-01-09,83.37,101.56,28.58,33.91,41.27,8.44,4.65,0.92,14.23,0.39,11.649767974792324,0.009226401703335699,7.38,56.76
9,2020-01-10,116.21,149.62,34.47,28.62,43.25,20.56,11.69,1.42,21.61,0.66,25.14843686698177,0.014915254237288136,14.23,41.27
10,2020-01-11,136.53,181.94,53.19,21.14,54.48,40.24,18.89,1.98,21.66,1.02,52.03682926829268,0.01838500360490267,21.61,43.25
11,2020-01-12,205.76,270.19,85.1,18.94,78.94,55.86,17.89,2.92,20.95,1.75,89.41048144433299,0.021891418563922942,21.66,54.48
12,2020-01-13,231.99,298.67,89.31,22.29,84.24,56.28,15.1,2.88,7.21,1.66,27.64813653928725,0.01947442515251056,20.95,78.94
13,2020-01-14,142.37,172.03,40.91,17.74,42.63,29.28,11.43,1.21,9.21,0.33,20.105715048025615,0.00756360302544121,7.21,84.24
14,2020-01-15,124.64,159.43,42.23,21.64,45.78,30.65,14.46,1.23,10.71,0.37,19.977177561837454,0.00790936297563061,9.21,42.63
15,2020-01-16,132.67,160.13,47.53,19.24,48.75,32.29,13.13,1.34,4.2,0.47,9.862944664031621,0.009447236180904522,10.71,45.78
16,2020-01-17,97.65,123.37,46.52,16.85,46.74,30.75,9.73,1.38,7.44,0.41,19.389848739495797,0.008588186007540846,4.2,48.75
17,2020-01-18,127.97,172.36,52.47,19.52,52.92,34.56,10.74,1.57,11.06,0.45,28.280614035087723,0.008345697329376855,7.44,46.74
18,2020-01-19,119.67,152.44,31.18,15.97,33.81,23.33,7.48,1.06,17.73,0.37,32.576393635827934,0.010629129560471129,11.06,52.92
19,2020-01-20,145.41,196.61,46.95,15.99,46.58,29.84,9.06,1.77,13.24,0.62,36.587286639199526,0.013030685161832704,17.73,33.81
20,2020-01-21,191.91,266.73,82.24,17.91,75.55,48.47,14.05,2.6,7.37,0.84,32.05228979375991,0.010973220117570216,13.24,46.58
21,2020-01-22,213.27,283.7,58.7,20.37,58.43,40.04,12.08,2.18,9.06,0.57,24.886382779597565,0.009591115598182735,7.37,75.55
22,2020-01-23,72.43,108.63,33.88,18.43,37.34,25.35,10.33,0.85,22.81,0.25,39.77369016984046,0.006520605112154407,9.06,58.43
23,2020-01-24,92.35,132.84,41.65,20.24,44.6,28.94,14.59,1.12,24.93,0.24,48.88580508474576,0.005263157894736842,22.81,37.34
24,2020-01-25,137.99,196.07,68.1,23.84,68.02,42.58,16.01,1.95,17.69,0.23,48.49794685990339,0.003332367429730513,24.93,44.6
25,2020-01-26,162.27,228.25,94.32,17.18,85.75,53.92,17.28,2.68,17.56,0.26,91.10336633663366,0.0029971181556195966,17.69,68.02
26,2020-01-27,173.18,261.59,101.03,27.14,96.44,60.75,23.87,3.01,7.32,0.22,26.2807249466951,0.0022577996715927753,17.56,85.75
27,2020-01-28,101.49,161.69,56.57,22.7,57.9,38.13,13.04,1.55,7.88,0.21,18.808928270042195,0.003565365025466893,7.32,96.44
28,2020-01-29,73.73,135.24,54.23,20.23,54.75,36.11,10.81,1.36,14.24,0.21,36.37471502590673,0.0037668161434977576,7.88,57.9
29,2020-01-30,82.59,134.63,44.69,22.04,47.88,31.48,9.8,1.13,15.46,0.39,29.987300347222227,0.007978723404255319,14.24,54.75
30,2020-01-31,89.68,129.96,49.91,22.47,52.47,34.05,10.64,1.4,15.25,0.52,32.429804005112906,0.009725079483822705,15.46,47.88
31,2020-02-01,98.45,144.96,65.04,20.96,63.89,40.92,11.13,1.66,16.29,0.65,48.24688524590164,0.01001695176452458,15.25,52.47
