Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,208.84,254.51,32.20,26.86,40.47,28.74,14.13,2.42,13.34,11.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-01-02 00:00:00,240.99,304.71,35.10,28.88,43.90,28.13,15.78,1.95,13.62,13.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-01-03 00:00:00,211.72,265.12,33.08,28.23,41.64,28.63,15.42,1.54,15.09,15.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-01-04 00:00:00,168.09,213.67,39.08,31.68,48.46,28.41,18.60,2.71,13.09,9.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-01-05 00:00:00,213.47,251.85,50.86,39.47,62.35,26.66,14.23,3.32,10.08,15.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-01-06 00:00:00,78.05,98.38,22.55,24.32,31.27,29.94,10.59,1.29,10.85,6.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-01-07 00:00:00,53.51,68.78,19.73,23.74,28.67,30.45,14.66,0.80,12.34,11.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-01-08 00:00:00,37.17,41.53,16.76,23.12,25.93,31.24,4.11,0.13,12.32,2.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-01-09 00:00:00,35.76,40.75,13.54,21.02,22.20,29.29,4.13,0.10,12.28,7.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-01-10 00:00:00,62.57,80.63,17.56,22.27,26.13,27.53,9.12,1.15,13.44,9.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-01-11 00:00:00,64.34,90.24,18.22,22.22,26.63,26.66,9.23,1.18,14.58,5.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-01-12 00:00:00,80.62,107.55,17.39,20.81,25.21,27.13,9.15,1.05,16.29,5.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-01-13 00:00:00,177.13,224.16,38.72,31.89,48.44,23.26,10.67,1.71,13.10,15.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-01-14 00:00:00,131.86,176.90,25.37,24.75,33.79,25.47,13.29,1.67,12.50,8.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-01-15 00:00:00,151.28,168.52,11.91,17.79,19.14,27.91,7.49,0.69,13.01,9.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-01-16 00:00:00,199.07,213.43,14.29,19.27,21.87,28.46,5.94,1.41,14.97,12.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-01-17 00:00:00,212.22,236.17,18.89,21.05,26.56,28.60,8.50,1.55,12.88,5.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-01-18 00:00:00,192.07,213.23,11.67,17.84,18.98,29.40,7.73,0.93,14.38,7.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-01-19 00:00:00,188.39,218.96,17.34,21.84,25.71,27.53,8.90,1.73,15.25,13.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
