Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),NO2_NO_ratio,VOC_NOx_ratio,hour_sin,hour_cos,month_sin,month_cos,Wind_U,Wind_V,Ozone_Baseline,Ozone_Anomaly
2020-01-01 00:00:00,454.75,781.25,83.35,77.18,108.85,61.32,11.72,2.12,3.48,10.08,425.92,6.93,95.2,0.57,37.08,0.0,0.0,251.8,996.32,0.9149970361588621,3.969048702776514,0.0,1.0,0.49999999999999994,0.8660254037844387,-0.34366983876274404,-0.4547428305369855,3.48,0.0
2020-01-01 01:00:00,391.5,625.25,59.38,68.38,84.5,59.32,9.98,1.68,1.93,9.3,360.0,6.65,95.2,0.65,46.62,0.0,0.0,252.3,996.22,1.132494203378602,4.319298245614036,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387,-0.4724294025664868,-0.44644200025386543,3.48,-1.55
2020-01-01 02:00:00,354.0,542.75,29.55,71.23,61.92,58.78,10.85,1.27,1.05,8.48,196.42,6.9,91.78,0.8,50.18,0.0,0.0,251.88,996.2,2.3315875613747954,3.256516211061665,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387,-0.6144480290839627,-0.5123022736186459,2.705,-1.655
2020-01-01 03:00:00,315.0,453.0,70.4,49.1,83.92,53.62,9.93,1.17,2.15,8.05,177.95,4.8,93.15,0.35,102.98,0.0,0.0,253.15,996.08,0.6876750700280112,2.190296749882242,0.7071067811865476,0.7071067811865476,0.49999999999999994,0.8660254037844387,-0.3410569848534467,0.078613822465746,2.1533333333333333,-0.0033333333333334103
2020-01-01 04:00:00,306.25,420.75,141.6,41.92,137.93,50.75,9.72,1.27,3.85,8.45,105.68,3.18,95.2,0.32,175.8,0.0,0.0,255.02,995.97,0.2939691444600281,0.8214928381199166,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,-0.023436223080842,0.3191406327118266,2.1525,1.6975000000000002
2020-01-01 05:00:00,306.75,425.5,254.4,46.25,231.85,51.05,9.9,1.55,2.88,8.35,49.62,3.1,95.2,0.52,129.85,0.0,0.0,257.05,996.38,0.18108848864526234,0.24895855701095126,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387,-0.39921680761677675,0.333205552949331,2.492,0.3879999999999999
2020-01-01 06:00:00,324.75,458.75,215.48,46.7,201.45,54.45,10.65,1.98,3.4,11.22,37.25,3.05,95.2,0.25,109.38,0.0,0.0,259.92,997.08,0.21572431633407246,0.23941714003457645,1.0,6.123233995736766e-17,0.49999999999999994,0.8660254037844387,-0.23583463664720172,0.0829579662086911,2.5566666666666666,0.8433333333333333
2020-01-01 07:00:00,392.0,553.25,290.35,45.65,260.0,54.2,10.48,2.3,3.68,13.72,67.48,3.72,95.2,0.28,149.2,0.0,0.0,210.5,997.95,0.15668440020593785,0.3111111111111111,0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,-0.14337200216376014,0.240508771140586,2.677142857142857,1.0028571428571431
2020-01-01 08:00:00,418.5,603.25,194.1,77.88,200.27,54.58,10.75,2.22,3.73,11.72,63.35,6.6,94.48,0.6,134.98,0.0,0.0,182.02,999.1,0.3991799077396207,0.37298156704923735,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387,-0.42441213895921487,0.42411594676935227,2.8025,0.9274999999999998
2020-01-01 09:00:00,393.5,600.5,35.28,68.78,65.38,55.9,10.42,1.75,9.93,8.12,69.9,11.12,70.5,1.15,96.02,0.0,0.0,170.28,999.95,1.8958103638368247,1.1753540222958725,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387,-1.143658149581708,0.12060695210203913,2.9055555555555554,7.024444444444445
2020-01-01 10:00:00,353.5,559.75,11.9,47.38,34.88,54.55,11.23,1.35,37.72,5.92,40.58,14.95,49.58,1.6,99.65,0.0,0.0,171.12,999.875,3.6728682170542637,1.2959866220735785,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387,-1.5773602055416935,0.26820660315038153,3.6079999999999997,34.112
2020-01-01 11:00:00,257.0,377.75,7.38,41.9,28.38,51.22,11.02,1.1,63.45,4.03,43.32,17.27,40.03,1.52,102.0,0.0,0.0,151.05,999.8,5.0,1.611640571817563,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387,-1.4867843531153846,0.31602577004299387,6.709090909090909,56.74090909090909
2020-01-01 12:00:00,168.75,256.5,13.25,53.7,39.52,44.55,11.38,0.92,59.82,3.12,94.32,18.75,37.8,1.23,99.68,0.0,0.0,155.68,999.05,3.768421052631579,2.4047384007897334,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387,-1.2124875341961894,0.20681871148144243,11.4375,48.3825
2020-01-01 13:00:00,131.0,220.25,12.3,55.12,39.45,44.32,10.15,0.82,56.08,2.4,71.1,18.9,38.2,1.65,96.42,0.0,0.0,181.55,998.08,4.144360902255639,1.8170580964153273,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,0.8660254037844387,-1.6396527652229498,0.1844960961558099,15.159230769230769,40.92076923076923
2020-01-01 14:00:00,107.75,200.25,20.08,64.57,50.92,39.75,10.5,0.7,60.1,1.95,52.7,19.2,38.35,1.6,106.4,0.0,0.0,167.02,997.62,3.0630929791271346,1.0525808936825887,-0.4999999999999997,-0.8660254037844388,0.49999999999999994,0.8660254037844387,-1.534902359264092,0.4517463309486025,18.08214285714286,42.01785714285714
2020-01-01 15:00:00,99.75,207.75,13.65,55.6,40.47,40.58,11.0,0.7,70.28,1.98,37.55,18.77,40.5,1.4,103.65,0.0,0.0,170.23,997.5,3.795221843003413,0.9532191945985048,-0.7071067811865471,-0.7071067811865479,0.49999999999999994,0.8660254037844387,-1.3604576024271575,0.3303863072195186,20.883333333333333,49.39666666666667
2020-01-01 16:00:00,96.0,199.25,8.07,55.8,36.28,41.18,10.28,0.72,59.98,2.15,29.28,17.4,47.55,1.1,101.8,0.0,0.0,178.18,997.52,6.152149944873208,0.8430793991416309,-0.8660254037844385,-0.5000000000000004,0.49999999999999994,0.8660254037844387,-1.0767541276378536,0.2249456570259694,23.970625,36.009375
2020-01-01 17:00:00,106.5,233.75,4.97,60.53,36.2,43.12,9.73,0.82,42.28,3.02,171.18,14.45,64.18,0.72,65.5,0.0,0.0,194.38,997.72,10.139028475711893,4.682795698924731,-0.9659258262890683,-0.25881904510252063,0.49999999999999994,0.8660254037844387,-0.6551721150311111,-0.29857913471249203,26.088823529411766,16.191176470588236
2020-01-01 18:00:00,185.75,415.75,93.12,94.72,126.07,53.78,10.38,1.42,4.9,9.3,,11.55,84.92,0.28,106.22,0.0,0.0,221.68,997.98,1.0063748406289843,0.07318800661052964,-1.0,-1.8369701987210297e-16,0.49999999999999994,0.8660254037844387,-0.2688549474539043,0.07821136253485395,26.988333333333333,-22.08833333333333
2020-01-01 19:00:00,362.75,667.5,210.05,100.05,224.28,66.05,9.6,2.65,2.17,,,9.85,94.38,0.12,118.02,0.0,0.0,246.6,998.25,0.47405828002842926,,-0.9659258262890684,0.2588190451025203,0.49999999999999994,0.8660254037844387,-0.10593403950956522,0.0563735689236177,25.82578947368421,-23.65578947368421
2020-01-01 20:00:00,451.75,830.5,325.08,92.9,314.55,61.38,9.07,2.95,1.98,,,8.93,95.2,0.28,210.28,0.0,0.0,261.6,998.68,0.2848994111874387,,-0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387,0.14118333913080772,0.24180005118253253,24.643,-22.663
