Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,251.00,374.00,102.03,58.83,114.27,74.83,13.20,2.81,1.93,6.23,46.30,NA,NA,NA,NA,11.10,89.00,0.33,251.00,NA,0.00,5.00,740.00,NA
2025-01-01 01:00:00,269.00,437.00,102.10,61.60,115.80,74.32,12.35,2.74,3.05,6.25,45.60,NA,NA,NA,NA,10.85,89.75,0.35,251.00,NA,0.00,5.00,740.00,NA
2025-01-01 02:00:00,238.00,326.00,59.90,63.22,82.35,81.50,14.50,2.38,4.08,5.72,42.88,NA,NA,NA,NA,11.08,89.25,0.68,251.00,NA,0.00,5.00,740.00,NA
2025-01-01 03:00:00,227.00,324.00,44.08,61.25,68.40,70.03,16.45,2.00,2.50,6.00,38.80,NA,NA,NA,NA,11.40,86.50,1.05,251.00,NA,0.00,5.00,740.00,NA
2025-01-01 04:00:00,286.00,381.00,31.90,51.35,53.25,66.12,15.75,1.81,2.55,5.72,36.35,NA,NA,NA,NA,11.42,85.50,0.60,251.00,NA,0.00,5.00,740.00,NA
2025-01-01 05:00:00,224.00,302.00,53.65,56.15,73.53,63.22,13.98,1.70,3.10,4.08,35.98,NA,NA,NA,NA,11.42,83.25,0.68,241.50,NA,0.00,5.00,740.00,NA
2025-01-01 06:00:00,177.00,276.00,84.10,65.50,103.17,72.82,14.27,1.82,2.58,3.22,36.67,NA,NA,NA,NA,11.38,83.00,0.60,231.50,NA,0.00,5.00,740.00,NA
2025-01-01 07:00:00,195.00,287.00,90.62,60.58,105.92,70.18,12.80,1.83,1.72,3.35,40.58,NA,NA,NA,NA,11.20,83.00,0.65,250.50,NA,0.00,16.75,740.00,NA
2025-01-01 08:00:00,188.00,326.00,105.45,69.38,122.65,75.05,10.00,1.88,3.18,3.35,41.62,NA,NA,NA,NA,11.30,82.25,0.60,43.00,NA,0.00,90.00,740.00,NA
2025-01-01 09:00:00,176.00,339.00,89.52,69.88,109.92,70.90,9.43,1.91,3.72,3.40,40.88,NA,NA,NA,NA,11.85,78.50,0.75,95.50,NA,0.00,108.75,740.00,NA
2025-01-01 10:00:00,176.00,299.00,88.40,63.28,105.55,70.62,9.15,1.86,4.32,3.15,40.90,NA,NA,NA,NA,12.70,73.50,1.00,243.75,NA,0.00,114.25,740.00,NA
