Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,362.00,478.00,29.77,22.83,36.37,30.80,8.50,1.66,4.57,3.17,47.63,NA,NA,NA,NA,11.73,90.00,0.53,208.00,0.00,0.00,5.67,999.00,NA
2025-01-01 01:00:00,351.00,461.00,23.02,22.40,30.62,31.00,8.10,1.25,4.70,2.85,33.20,NA,NA,NA,NA,11.50,90.00,0.62,193.50,0.00,0.00,5.75,999.00,NA
2025-01-01 02:00:00,202.00,261.00,17.50,22.20,26.10,32.60,8.00,1.15,7.85,2.22,17.55,NA,NA,NA,NA,11.75,90.00,0.65,165.00,0.00,0.00,5.75,999.00,NA
2025-01-01 03:00:00,147.00,189.00,18.70,19.67,25.63,27.23,8.33,1.07,3.28,1.95,16.68,NA,NA,NA,NA,12.20,90.00,0.82,233.25,0.00,0.00,5.75,999.00,NA
2025-01-01 04:00:00,153.00,230.00,12.62,25.05,23.58,30.70,7.60,0.94,3.28,2.05,21.80,NA,NA,NA,NA,12.30,90.00,0.62,184.00,0.00,0.00,6.00,999.00,NA
2025-01-01 05:00:00,143.00,252.00,7.38,27.48,20.62,30.65,7.57,0.86,4.15,1.83,17.10,NA,NA,NA,NA,12.30,90.00,0.75,199.00,0.00,0.00,6.00,999.00,NA
2025-01-01 06:00:00,175.00,273.00,1.18,23.28,13.35,30.72,7.05,0.67,10.95,1.60,10.72,NA,NA,NA,NA,12.25,90.00,0.88,200.25,0.00,0.00,6.00,999.00,NA
2025-01-01 07:00:00,107.00,171.00,0.85,21.02,11.88,31.25,6.55,0.59,22.12,1.08,2.65,NA,NA,NA,NA,12.15,90.00,0.57,163.50,0.00,0.00,8.00,999.00,NA
2025-01-01 08:00:00,125.00,195.00,1.15,25.32,14.40,27.78,6.75,0.68,23.12,1.05,1.85,NA,NA,NA,NA,12.55,86.50,0.55,154.25,0.00,0.00,34.25,999.00,NA
2025-01-01 09:00:00,128.00,189.00,1.60,20.30,12.05,26.52,7.20,0.65,30.55,0.90,1.58,NA,NA,NA,NA,12.82,82.75,0.80,131.75,0.00,0.00,58.00,999.00,NA
2025-01-01 10:00:00,143.00,189.00,2.88,17.55,11.68,26.15,7.50,0.66,29.80,1.02,1.90,NA,NA,NA,NA,13.45,78.25,0.90,138.50,0.00,0.00,89.25,999.00,NA
