Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,181.27,304.04,78.96,24.78,77.38,NA,NA,1.63,9.65,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 01:00:00,142.14,256.20,62.10,20.87,61.61,NA,NA,1.33,10.09,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 02:00:00,127.96,244.10,38.05,25.20,44.39,NA,NA,1.06,9.48,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 03:00:00,96.36,262.81,8.11,32.19,23.72,NA,NA,0.66,8.06,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 04:00:00,95.25,236.39,6.23,29.78,20.90,NA,NA,0.62,8.31,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 05:00:00,130.54,219.94,3.45,29.34,18.41,NA,NA,0.49,14.55,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 06:00:00,139.64,217.57,2.57,23.67,14.68,NA,NA,0.44,19.53,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 07:00:00,116.40,195.76,2.69,21.89,13.83,NA,NA,0.45,22.07,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 08:00:00,102.42,181.83,3.79,18.56,12.95,NA,NA,0.43,24.52,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 09:00:00,114.17,189.63,5.16,18.67,14.13,NA,NA,0.46,27.66,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 10:00:00,108.58,184.20,6.80,17.81,15.00,NA,NA,0.48,30.21,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 11:00:00,130.76,193.77,7.58,20.40,17.01,NA,NA,0.53,34.13,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 12:00:00,150.20,245.75,7.48,20.86,17.18,NA,NA,0.53,38.77,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 13:00:00,139.37,222.72,5.95,19.33,15.12,NA,NA,0.52,40.76,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 14:00:00,130.43,208.95,4.62,18.90,13.81,NA,NA,0.51,47.34,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 15:00:00,123.36,203.89,3.75,20.03,13.70,NA,NA,0.47,45.33,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 16:00:00,119.22,211.67,3.04,25.41,15.99,NA,NA,0.50,40.42,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 17:00:00,152.17,244.12,4.13,40.72,25.01,NA,NA,0.66,19.44,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 18:00:00,153.23,267.21,10.30,49.83,34.88,NA,NA,0.83,11.40,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 19:00:00,148.95,259.18,13.32,49.69,37.25,NA,NA,0.98,11.09,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 20:00:00,162.61,272.10,20.21,52.01,44.09,NA,NA,1.15,10.57,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 21:00:00,170.09,330.33,29.36,48.13,49.46,NA,NA,1.27,11.97,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 22:00:00,184.19,316.10,32.92,40.14,48.12,NA,NA,1.25,9.27,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-01 23:00:00,185.47,296.68,21.71,43.00,40.56,NA,NA,1.03,10.77,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-02 00:00:00,137.98,250.27,3.64,25.64,16.60,NA,NA,0.63,18.70,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-02 01:00:00,132.84,228.11,2.54,22.22,13.89,NA,NA,0.58,19.70,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-02 02:00:00,133.39,231.45,1.91,18.66,11.48,NA,NA,0.56,22.37,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-02 03:00:00,135.67,221.76,1.62,15.32,9.47,NA,NA,0.53,24.36,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-02 04:00:00,123.03,214.83,1.38,12.95,8.01,NA,NA,0.52,26.43,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-02 05:00:00,149.10,265.25,1.50,13.77,8.55,NA,NA,0.57,23.09,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-02 06:00:00,153.71,281.90,1.90,19.68,12.02,NA,NA,0.60,15.99,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-02 07:00:00,129.31,224.88,2.52,20.96,13.20,NA,NA,0.62,14.05,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-02 08:00:00,117.61,226.43,4.52,22.82,15.81,NA,NA,0.68,15.66,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-02 09:00:00,138.53,241.04,7.57,25.48,19.71,NA,NA,0.75,16.49,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-02 10:00:00,161.90,275.07,10.43,26.32,22.48,NA,NA,0.83,18.88,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-02 11:00:00,202.44,326.30,11.63,28.54,24.63,NA,NA,0.85,22.26,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-02 12:00:00,184.55,301.63,9.38,29.84,23.50,NA,NA,0.88,30.98,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-02 13:00:00,158.77,263.07,7.85,27.43,20.97,NA,NA,0.85,32.35,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-02 14:00:00,154.32,243.11,7.11,28.57,20.98,NA,NA,0.82,39.00,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-02 15:00:00,173.73,244.97,5.88,33.86,22.79,NA,NA,0.84,37.64,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-02 16:00:00,178.67,308.82,4.39,34.85,22.11,NA,NA,0.86,32.88,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-02 17:00:00,175.52,291.20,3.96,38.16,23.52,NA,NA,0.92,17.17,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-02 18:00:00,168.39,323.28,52.53,39.03,63.38,NA,NA,1.48,9.11,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-02 19:00:00,153.89,342.14,81.91,32.35,83.77,NA,NA,1.83,10.06,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-02 20:00:00,200.99,382.84,110.48,29.21,105.34,NA,NA,2.38,11.50,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-02 21:00:00,224.90,458.45,133.93,27.36,123.44,NA,NA,2.67,11.34,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-02 22:00:00,248.56,477.70,100.73,28.29,97.02,NA,NA,2.65,13.10,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-02 23:00:00,277.69,422.92,36.01,31.74,46.20,NA,NA,1.79,10.14,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-03 00:00:00,177.30,308.80,21.49,28.84,32.80,NA,NA,1.36,8.63,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-03 01:00:00,166.60,300.74,44.51,23.57,48.70,NA,NA,1.43,8.85,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-03 02:00:00,183.87,355.12,43.87,20.46,46.54,NA,NA,1.40,8.53,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-03 03:00:00,199.98,339.31,65.63,15.55,61.61,NA,NA,1.48,8.95,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-03 04:00:00,206.01,352.81,40.18,22.04,44.46,NA,NA,1.36,8.77,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-03 05:00:00,151.60,344.42,10.49,27.90,23.37,NA,NA,1.18,7.60,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-03 06:00:00,108.19,277.26,5.72,26.02,18.50,NA,NA,1.07,7.71,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-03 07:00:00,104.33,266.25,6.86,26.19,19.50,NA,NA,1.07,7.86,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-03 08:00:00,98.22,272.33,18.81,27.34,29.82,NA,NA,1.15,8.38,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-03 09:00:00,133.63,342.14,28.69,29.19,38.84,NA,NA,1.28,8.66,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-03 10:00:00,163.24,411.93,32.02,30.97,42.51,NA,NA,1.38,9.24,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-03 11:00:00,220.92,440.21,28.35,81.31,66.31,NA,NA,1.43,11.01,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-03 12:00:00,273.09,461.91,18.38,55.50,44.48,NA,NA,1.42,21.91,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-03 13:00:00,337.16,524.65,11.25,66.80,44.69,NA,NA,1.50,43.68,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-03 14:00:00,344.66,545.07,7.74,64.65,40.69,NA,NA,1.41,63.69,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-03 15:00:00,272.35,449.34,6.10,50.77,31.96,NA,NA,1.01,73.48,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-03 16:00:00,207.13,348.73,5.89,57.14,35.18,NA,NA,1.06,46.15,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-03 17:00:00,218.54,366.49,7.15,59.27,37.32,NA,NA,1.24,16.15,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-03 18:00:00,199.13,366.00,56.58,51.77,73.46,NA,NA,1.79,8.95,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
