Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,311.00,465.00,65.63,51.87,80.90,31.43,36.53,3.00,3.67,NA,NA,NA,NA,NA,NA,13.43,91.33,0.30,165.00,NA,0.00,7.00,NA,-0.01
2025-01-01 01:00:00,315.00,458.00,60.80,49.38,75.68,30.40,40.52,2.85,3.60,NA,NA,NA,NA,NA,NA,13.32,91.00,0.30,190.75,NA,0.00,7.00,NA,-0.01
2025-01-01 02:00:00,329.00,482.00,57.80,45.60,71.30,30.00,34.20,2.83,3.28,NA,NA,NA,NA,NA,NA,13.42,91.00,0.30,219.25,NA,0.00,7.00,NA,-0.01
2025-01-01 03:00:00,222.00,366.00,29.20,46.53,48.50,27.22,32.47,1.78,3.42,NA,NA,NA,NA,NA,NA,13.85,88.25,0.30,215.50,NA,0.00,7.00,NA,0.00
2025-01-01 04:00:00,215.00,348.00,16.50,45.98,37.90,25.83,28.62,1.43,4.28,NA,NA,NA,NA,NA,NA,13.80,86.75,0.38,202.50,NA,0.00,7.00,NA,-0.01
2025-01-01 05:00:00,201.00,282.00,6.88,44.75,29.38,26.78,32.02,1.13,9.75,NA,NA,NA,NA,NA,NA,13.80,85.25,0.50,206.75,NA,0.00,7.00,NA,-0.00
2025-01-01 06:00:00,197.00,262.00,4.42,43.50,26.72,27.22,32.50,1.04,10.00,NA,NA,NA,NA,NA,NA,13.62,85.00,0.55,201.00,NA,0.00,7.00,NA,-0.00
2025-01-01 07:00:00,195.00,266.00,4.68,42.78,26.52,27.02,30.10,0.99,11.45,NA,NA,NA,NA,NA,NA,13.45,85.75,0.35,210.75,NA,0.00,9.50,NA,-0.01
2025-01-01 08:00:00,158.00,201.00,3.55,39.17,23.70,26.58,32.78,0.94,15.45,NA,NA,NA,NA,NA,NA,13.40,85.00,0.52,207.75,NA,0.00,38.25,NA,-0.01
2025-01-01 09:00:00,160.00,215.00,4.10,38.28,23.75,25.93,25.18,1.00,17.68,NA,NA,NA,NA,NA,NA,13.85,82.00,1.15,193.00,NA,0.00,58.25,NA,-0.01
2025-01-01 10:00:00,157.00,210.00,3.95,36.80,22.78,25.90,22.92,1.07,18.80,NA,NA,NA,NA,NA,NA,14.48,78.50,0.72,198.25,NA,0.00,109.75,NA,-0.01
2025-01-01 11:00:00,157.00,217.00,4.53,37.83,23.78,25.68,14.60,1.08,21.15,NA,NA,NA,NA,NA,NA,15.02,75.25,1.20,201.75,NA,0.00,201.50,NA,0.03
2025-01-01 12:00:00,161.00,213.00,3.92,37.50,23.15,25.98,3.55,1.16,23.13,NA,NA,NA,NA,NA,NA,15.68,71.50,1.15,201.00,NA,0.00,181.25,NA,0.00
2025-01-01 13:00:00,151.00,227.00,3.40,38.33,23.15,27.02,9.68,1.13,27.38,NA,NA,NA,NA,NA,NA,16.30,67.75,1.42,182.00,NA,0.00,244.50,NA,0.00
2025-01-01 14:00:00,163.00,250.00,3.08,40.52,24.05,28.32,14.95,1.17,29.22,NA,NA,NA,NA,NA,NA,16.48,67.25,0.92,193.50,NA,0.00,165.50,NA,0.01
2025-01-01 15:00:00,172.00,263.00,3.15,43.55,25.72,28.52,12.85,1.25,29.12,NA,NA,NA,NA,NA,NA,16.62,67.00,0.62,188.00,NA,0.00,108.75,NA,-0.00
2025-01-01 16:00:00,180.00,256.00,3.15,44.68,26.33,28.60,13.70,1.26,25.30,NA,NA,NA,NA,NA,NA,16.18,70.75,0.35,202.50,NA,0.00,54.25,NA,-0.01
2025-01-01 17:00:00,161.00,233.00,4.00,47.82,28.67,28.00,11.60,1.36,14.45,NA,NA,NA,NA,NA,NA,15.05,79.00,0.38,201.50,NA,0.00,14.75,NA,-0.01
